d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,False,GD,1.0,1.0,0.004300757283528646,0.0050639334894816085,0.0404706861609593,0.008208747520499552,0.0043149970240241
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,True,GD,1.0,0.0,0.004355863217671713,0.005168591102600098,0.036405855931031204,0.0037650806649859683,0.006602707161800936
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,False,GD,1.0,1.0,0.004005094942728678,0.005095028699239095,0.3207058097273111,0.0650878777106603,0.010438257786639345
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,True,GD,1.0,0.0,0.003953909070332845,0.005068924120585123,0.3231498435611526,0.014842642773874105,0.05354575971141457
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,False,GD,1.0,1.0,0.0039017425537109375,0.004811122812906901,0.5704788688321908,0.10980701260268688,0.011443743818381336
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,True,GD,1.0,0.0,0.00394869152577718,0.0049587617696126305,0.6041821988721688,0.01694043182845538,0.10202056585500636
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,False,GD,1.0,1.0,0.0038590059382120766,0.0046489650802612305,0.808799216657877,0.13907512091100216,0.018976979716292895
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,True,GD,1.0,0.0,0.0038461168111165365,0.004698411524454753,0.8163419036368529,0.018352955638935478,0.138256966881454
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,False,GD,1.0,1.0,0.003926351666768392,0.004721729194641113,1.0117798164486886,0.15073145156105358,0.017517244926420972
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,True,GD,1.0,0.0,0.00396334777323405,0.004680053555806478,1.075159642924865,0.016306642023846508,0.18613289731244245
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,False,GD,1.0,1.0,0.003896038614908854,0.00468435237121582,1.2581270338694255,0.1656627190609773,0.022720809259529535
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,True,GD,1.0,0.0,0.00391324193572998,0.00444432792409261,1.2786986686487993,0.017309828096767888,0.2233915178726117
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,False,GD,1.0,1.0,0.0039381475982666015,0.00475853825378418,1.4937317369381586,0.17519470291833084,0.02398188970182673
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,True,GD,1.0,0.0,0.003982609123229981,0.004316381769816081,1.51949754379193,0.014196146043104818,0.2693006604909897
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5904166666666667,False,GD,1.0,1.0,0.003870853584289551,0.004698711087544759,1.6921175553798677,0.18464106259246668,0.02812695799972668
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5904166666666667,True,GD,1.0,0.0,0.0038316053670247392,0.00393208304087321,1.6813451154033343,0.013989245239645244,0.30148408425350987
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.6733333333333333,False,GD,1.0,1.0,0.003920747629801433,0.004810707659403483,1.9584579831163087,0.18724064057072,0.025911405083024874
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.6733333333333333,True,GD,1.0,0.0,0.003939134086608887,0.003798559181213379,1.917958973666032,0.014401090203318744,0.34920148650805155
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.75625,False,GD,1.0,1.0,0.0038323921585083007,0.004750173352559408,2.202293110728264,0.18757315973440805,0.031643295614048834
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.75625,True,GD,1.0,0.0,0.003960399421691894,0.003686857706705729,2.0390831027825675,0.01283529892292184,0.3713253021240234
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.8391666666666666,False,GD,1.0,1.0,0.003866696543375651,0.0048049737421671556,2.4259301383892695,0.18595688442389172,0.04013129022981351
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.8391666666666666,True,GD,1.0,0.0,0.0038771185862223304,0.003351206100463867,2.2038522613445917,0.010043884979677386,0.4068453838427861
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.9220833333333334,False,GD,1.0,1.0,0.003926681330362956,0.00495887407430013,2.752953673879306,0.1932461534937223,0.02718683314791027
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.9220833333333334,True,GD,1.0,0.0,0.0038098705037434896,0.003042179941813151,2.3359702274799345,0.01129367319266142,0.43774463633696237
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.005,False,GD,1.0,1.0,0.0038913500467936198,0.004952522626241049,3.0005186061859135,0.19355726093053818,0.04206628636068974
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.005,True,GD,1.0,0.0,0.00394000351969401,0.0029704765040079752,2.512701397140821,0.008597099024821848,0.4736106919745604
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.0879166666666666,False,GD,1.0,1.0,0.003881671658833822,0.004925204678853353,3.1655872414509454,0.18815767231086888,0.047693878956488335
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.0879166666666666,True,GD,1.0,0.0,0.003926433074951171,0.0027576412620544436,2.636947514593601,0.010232929401293707,0.4996550644437472
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.1708333333333334,False,GD,1.0,1.0,0.003834142557779948,0.004923321451822916,3.4138681579828263,0.18626231774687765,0.0405228495481424
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.1708333333333334,True,GD,1.0,0.0,0.0039198563079833985,0.002508771249135335,2.783676478922367,0.007293724162930933,0.531435610850652
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.25375,False,GD,1.0,1.0,0.0037961302541097003,0.004891925069173177,3.628858728885651,0.1858757495880127,0.042342413866814844
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.25375,True,GD,1.0,0.0,0.003880620142618815,0.0023628526407877604,2.837581240733465,0.005606051949143875,0.5432033283015092
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.3366666666666667,False,GD,1.0,1.0,0.003947913546244303,0.005145198585510254,4.121951821088791,0.18967655984063944,0.05471682529411434
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.3366666666666667,True,GD,1.0,0.0,0.0038407475967407226,0.002122169101715088,2.937413654764493,0.0072745447387812115,0.5678892215092977
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.4195833333333334,False,GD,1.0,1.0,0.003906798990885417,0.005125230410257975,4.29532991862297,0.18576356830696264,0.04089087947116544
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.4195833333333334,True,GD,1.0,0.0,0.0038615916188557945,0.0020182752113342283,3.0290895242492355,0.005428899179908815,0.585538363456726
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5025,False,GD,1.0,1.0,0.003820114240010579,0.004996176963806152,4.4932044928868615,0.18021932045618694,0.05559470593580045
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5025,True,GD,1.0,0.0,0.0038267236963907877,0.0018095364430745443,3.128141112069289,0.007232472900068387,0.6074977844953536
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5854166666666667,False,GD,1.0,1.0,0.003854131172180176,0.005075451502482097,4.773526089429855,0.17730235531926156,0.04935148809454404
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5854166666666667,True,GD,1.0,0.0,0.003928998799641928,0.001702070696512858,3.2657185659011208,0.005886205804927158,0.6377742340167364
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.6683333333333332,False,GD,1.0,1.0,0.003894533650716146,0.0051172391662597655,5.093989324092865,0.1752684993048509,0.07197000645731653
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.6683333333333332,True,GD,1.0,0.0,0.00387630951944987,0.0015880705782572429,3.2973830360770227,0.006105341785951168,0.645082938671112
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.75125,False,GD,1.0,1.0,0.003873738906860352,0.005103653465270996,5.369676467657089,0.17181875457366305,0.07530821431816245
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.75125,True,GD,1.0,0.0,0.0038200848185221356,0.0014493017317454022,3.339074032584826,0.004571537097702579,0.6541403179367383
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.8341666666666667,False,GD,1.0,1.0,0.003802786834716797,0.0049797249781290695,5.426478232065836,0.16743910734852155,0.07701041449327022
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.8341666666666667,True,GD,1.0,0.0,0.0038520802688598635,0.001331473482131958,3.4468105041186017,0.00654840429876155,0.6757379362980526
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.9170833333333333,False,GD,1.0,1.0,0.0038273202158610026,0.005032156176249186,5.811886504650116,0.1616747595369816,0.08049586159953227
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.9170833333333333,True,GD,1.0,0.0,0.003828354881286621,0.0012269020951588949,3.4904956555763884,0.005021787985848884,0.6855766033132871
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.0,False,GD,1.0,1.0,0.0037855764973958334,0.004991107577006022,6.057428210337957,0.16412776472667853,0.07979156000850102
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.0,True,GD,1.0,0.0,0.003843607577006022,0.0011526935348510742,3.538406276404858,0.004096625273541577,0.6963739300767581
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.01,False,GD,1.0,1.0,0.004065845507303874,0.004766187355041504,0.03193753497162834,0.0063683223988239964,0.003431313531473279
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.01,True,GD,1.0,0.0,0.004006117622375488,0.00466477729288737,0.03336295569657038,0.004519998512084082,0.005880794200250724
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.09291666666666666,False,GD,1.0,1.0,0.003809184527079264,0.004672406176249187,0.28089296924322843,0.05663718761255344,0.010389123211083037
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.09291666666666666,True,GD,1.0,0.0,0.003795047002156576,0.004646894203186035,0.30758140423893926,0.01527636091414024,0.052855983904252446
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.17583333333333334,False,GD,1.0,1.0,0.0037245326283772786,0.004427570437113444,0.5302940840522449,0.09707241381208102,0.01695479006569561
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.17583333333333334,True,GD,1.0,0.0,0.003724133313496908,0.00449957248433431,0.5434599163482586,0.014944379186332906,0.0915373523409168
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.25875,False,GD,1.0,1.0,0.003669934967041016,0.004293829780578614,0.7431207465430102,0.12350334413349628,0.018294914448779308
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.25875,True,GD,1.0,0.0,0.0036717395655314123,0.004322005826314291,0.7433531479537487,0.021430903046469513,0.12530479077249765
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.3416666666666667,False,GD,1.0,1.0,0.0037896240514119464,0.0044191209564208985,0.9958506574134032,0.14068183898925782,0.02354961454596681
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.3416666666666667,True,GD,1.0,0.0,0.003677089780171712,0.004138450597127279,1.0169479362567266,0.01623430090257898,0.17815690723558267
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.4245833333333333,False,GD,1.0,1.0,0.0038016733957926432,0.004434171040852864,1.211545917938153,0.1561527411142985,0.023717322533654318
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.4245833333333333,True,GD,1.0,0.0,0.0037758241475423174,0.004136623870849609,1.202244946072499,0.015338009279609347,0.21172169918815295
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5075,False,GD,1.0,1.0,0.003717444585164388,0.004348993977864583,1.4266353524724644,0.1593559845040242,0.02695349226972515
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5075,True,GD,1.0,0.0,0.0037771968612670894,0.003940363118489583,1.4215300089319547,0.01019789172084226,0.2570008598268032
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5904166666666667,False,GD,1.0,1.0,0.0037036516062418623,0.004354062436421713,1.5897577501336733,0.1643111802637577,0.02869722451432608
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5904166666666667,True,GD,1.0,0.0,0.0037306401697794595,0.0036989272130330403,1.59848511137565,0.01286073873194861,0.2933560165266196
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.6733333333333333,False,GD,1.0,1.0,0.003765989636739095,0.00448735853322347,1.8674224580128989,0.16896241282423338,0.024372296104168828
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.6733333333333333,True,GD,1.0,0.0,0.003777955530802409,0.003573549229939779,1.7751022676030794,0.0113742793231116,0.326851125434041
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.75625,False,GD,1.0,1.0,0.0037135590286254887,0.004446779368082683,2.0635531200170516,0.17127473714450994,0.025470669595718694
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.75625,True,GD,1.0,0.0,0.0037241888809204106,0.0033126052347819007,1.9303282181024553,0.011726777210424187,0.360062695791324
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.8391666666666666,False,GD,1.0,1.0,0.003656339678446452,0.004429899991353353,2.2903497079610826,0.1762300902356704,0.021828181315989546
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.8391666666666666,True,GD,1.0,0.0,0.003697426261901856,0.0030732744420369465,2.0804692198435464,0.009060219410457648,0.39298224200805026
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.9220833333333334,False,GD,1.0,1.0,0.0037641414718627927,0.004591676345825195,2.577766307314237,0.1756791683534781,0.02778015432219642
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.9220833333333334,True,GD,1.0,0.0,0.0037553733749389646,0.0029347471936543783,2.245978078285853,0.0086048307857709,0.4277834713459015
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.005,False,GD,1.0,1.0,0.003728438565572103,0.004553325380961101,2.74228052731355,0.17081274390220644,0.039035573886940254
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.005,True,GD,1.0,0.0,0.0037247333628336586,0.002768587289174398,2.3411479635437327,0.007338190328421964,0.4465557691951593
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.0879166666666666,False,GD,1.0,1.0,0.0036815920842488605,0.004541195302327474,3.0329840585390726,0.17253540679812432,0.043710316426586356
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.0879166666666666,True,GD,1.0,0.0,0.0038671896896362305,0.0026454407374064126,2.5445422793428105,0.007787997415531815,0.4902917963763078
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.1708333333333334,False,GD,1.0,1.0,0.0037485810928344723,0.004647605140686036,3.2550632488330202,0.17256773399809996,0.04128599201794714
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.1708333333333334,True,GD,1.0,0.0,0.0037799607340494794,0.002398544325510661,2.620498756825924,0.006269075070061566,0.5098834750552972
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.25375,False,GD,1.0,1.0,0.0037241672719319665,0.004667369222005208,3.5750964562098186,0.17176270447671413,0.049592081171188816
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.25375,True,GD,1.0,0.0,0.0037522216313680013,0.00221058695602417,2.728043465733528,0.006995035087735839,0.5315972926716009
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.3366666666666667,False,GD,1.0,1.0,0.0037753999837239582,0.004744729164123535,3.839782320102056,0.17406018016239008,0.05090141648349042
