d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,False,GD,1.0,0.0,2.0,0.005688169,0.0031721094,0.0021904171,0.0015731031,0.004104464727783203,0.005574381170654297,0.0410127990619978
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,False,GD,1.0,0.0,2.0,0.031340715,0.008421931,0.013844001,0.00425675,0.0038923753417968755,0.00538130062866211,0.3175689395368099
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,False,GD,1.0,0.0,2.0,0.056261946,0.020276846,0.026630724,0.00805455,0.004025544140625,0.00538928579711914,0.6055829051494598
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,False,GD,1.0,0.0,2.0,0.09039907,0.021485802,0.031008136,0.01170036,0.0038469642883300777,0.004991903717041016,0.7844194889068603
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,False,GD,1.0,0.0,2.0,0.09313227,0.045124155,0.041520454,0.020851977,0.0038311103088378906,0.004862846087646484,1.0521308741807938
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,False,GD,1.0,0.0,2.0,0.10412129,0.047298215,0.04776284,0.023410175,0.003802659075927734,0.004746560272216796,1.182261542749405
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,False,GD,1.0,0.0,2.0,0.11633861,0.042297743,0.046830874,0.016678136,0.0038165420898437497,0.004722106140136718,1.4055138359069823
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5904166666666667,False,GD,1.0,0.0,2.0,0.14932282,0.054224234,0.057572078,0.022644954,0.003855030096435547,0.004652014062499999,1.6354393969535828
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.6733333333333333,False,GD,1.0,0.0,2.0,0.13970146,0.068320215,0.054432113,0.02270844,0.004022382641601563,0.004864241448974609,1.860769697237015
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.75625,False,GD,1.0,0.0,2.0,0.14670771,0.096599974,0.05819509,0.054635316,0.003740877526855468,0.004407625494384766,1.951893313932419
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.8391666666666666,False,GD,1.0,0.0,2.0,0.14739192,0.11869353,0.047500666,0.047913637,0.0038777366516113284,0.00452390400390625,2.228918594455719
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.9220833333333334,False,GD,1.0,0.0,2.0,0.15036298,0.109171525,0.06390021,0.036837943,0.003940782733154297,0.0046581390075683595,2.449928883075714
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.005,False,GD,1.0,0.0,2.0,0.15752639,0.11312916,0.029298965,0.03872572,0.0039685528015136725,0.004661965570068359,2.65165251789093
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.0879166666666666,False,GD,1.0,0.0,2.0,0.13611923,0.1461567,0.06469545,0.06557487,0.0038357736511230463,0.004358044995117187,2.762379704189301
