d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.01,False,GD,1.0,0.0001344361205101013,0.0004914927212397258,0.0050484762671796305,2.1095505962875902e-05,8.50952994528124e-07
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.01,True,GD,1.0,0.00014050509643554688,0.0005067601709365844,0.0048838712470302805,2.44916736524677e-05,0.0005710010392552552
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.09291666666666666,False,GD,1.0,0.00012996598426500956,0.0005046988534927368,0.047494553407086755,8.45668608841758e-05,3.6172634839163705e-06
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.09291666666666666,True,GD,1.0,0.00013046618541081746,0.0005064072195688883,0.04884496413048813,0.0001247295532645391,0.000687479144835379
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.17583333333333334,False,GD,1.0,0.0001266786483923594,0.0005006027030944824,0.08688861649564145,0.0002729993267469884,1.6400800224403155e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.17583333333333334,True,GD,1.0,0.00012515610551834107,0.0004970385204950968,0.08576914880537273,0.0002795147306187573,0.0007597366721408131
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.25875,False,GD,1.0,0.00012210011545817057,0.0004915984131495158,0.12737060057188865,0.0008455562594463117,2.8878042772362275e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.25875,True,GD,1.0,0.00012747877216339113,0.0005023077163696289,0.1308858710768812,0.0007222955332205554,0.0009249767632960962
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.3416666666666667,False,GD,1.0,0.00012020874158541363,0.0004876652908325195,0.1663917169996615,0.0025389362941496073,9.862340043961618e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.3416666666666667,True,GD,1.0,0.00012434412844975788,0.0004961546122233073,0.1691013313208144,0.001809578572526031,0.0011484120152696657
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.4245833333333333,False,GD,1.0,0.00012113640721638998,0.000488863735516866,0.21303520865389147,0.008029777141443144,0.00028546755302159
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.4245833333333333,True,GD,1.0,0.00012501344919204713,0.0004971948118209839,0.21195870597620767,0.004534376286210318,0.0013796597088609512
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5075,False,GD,1.0,0.0001245282459259033,0.0004918344834645589,0.25915112714407346,0.022598921965497235,0.000716376398607584
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5075,True,GD,1.0,0.00012474591135978698,0.0004964588356018067,0.24980978898625472,0.007885084014075498,0.0016027275337061532
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5904166666666667,False,GD,1.0,0.0001273705857594808,0.0004791790733337402,0.2905470262914896,0.051366270768145726,0.001511604412022886
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5904166666666667,True,GD,1.0,0.0001259360728263855,0.000492772066116333,0.29562100720589907,0.02190152086307838,0.0025263718261461085
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.6733333333333333,False,GD,1.0,0.00012787965766588848,0.00041923411401112876,0.332760862638553,0.10236595049500465,0.00295630343183196
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.6733333333333333,True,GD,1.0,0.00012461467679341634,0.000471030432065328,0.3251609338824831,0.0489067480652011,0.00392774365512499
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.75625,False,GD,1.0,0.00012269707147280376,0.00036852548917134603,0.352432712033391,0.1282914062961936,0.0039767607602091935
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.75625,True,GD,1.0,0.00012490851775805154,0.00044337691402435305,0.3624919334475029,0.07539893536983679,0.004028610269112202
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.8391666666666666,False,GD,1.0,0.00012355048338572183,0.0003374579027493794,0.37794232146441936,0.14758929287393888,0.004933525052911136
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.8391666666666666,True,GD,1.0,0.00012913980968793233,0.0003910276823043823,0.40161145690052463,0.11756558196308713,0.005961413922098775
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.9220833333333334,False,GD,1.0,0.00012535264778137207,0.0003159782435099284,0.40647802312175435,0.16183813959360124,0.005234341500666536
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.9220833333333334,True,GD,1.0,0.00012906398391723632,0.0003562371555964152,0.42057091084122655,0.14124912060797215,0.005717661534436047
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.005,False,GD,1.0,0.00012767096567153932,0.0003010593818028768,0.43745753025015194,0.17259391893943152,0.004907463578517005
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.005,True,GD,1.0,0.00012855276226997377,0.0003071080870628357,0.4412850135962168,0.17000539004802703,0.006947208910908861
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.0879166666666666,False,GD,1.0,0.00012636822708447773,0.00028530426613489787,0.4592903298338254,0.18102850938836734,0.005898453130794223
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.0879166666666666,True,GD,1.0,0.00012258613149325053,0.0002841254908243815,0.45734850648045544,0.17797654780248803,0.00772204160069426
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.1708333333333334,False,GD,1.0,0.000128275306781133,0.00027672834269205725,0.4839361209968726,0.18837564898033934,0.005155865002598147
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.1708333333333334,True,GD,1.0,0.0001252642650604248,0.00027469901514053346,0.48434245526790615,0.18633640309174856,0.006131310936082931
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.25375,False,GD,1.0,0.00012621397606531778,0.0002647100927035014,0.5026531155208747,0.19386168979108334,0.005852073910500621
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.25375,True,GD,1.0,0.000122440900405248,0.00026288071441650393,0.4961919187208017,0.1911156682918469,0.006681890241452493
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.3366666666666667,False,GD,1.0,0.00012784350665410362,0.0002587717928886414,0.5281827980379263,0.19953756468991438,0.0055241997170090455
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.3366666666666667,True,GD,1.0,0.000130088338692983,0.0002630019540786743,0.5276625065604846,0.19911726315816244,0.007071836761315353
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.4195833333333334,False,GD,1.0,0.0001229517457485199,0.00024723133198420206,0.5374460517565409,0.20230226566394172,0.0061152411131236775
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.4195833333333334,True,GD,1.0,0.00012584483234087627,0.00025931509081522625,0.5485398503045241,0.19718422160173454,0.007244511501630768
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5025,False,GD,1.0,0.00012735284972190857,0.00024706259536743167,0.5715017024676005,0.20748766909042993,0.005464441953517962
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5025,True,GD,1.0,0.0001249469261964162,0.0002444481539726257,0.5619429600834847,0.20637041603525477,0.007920982672658283
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5854166666666667,False,GD,1.0,0.0001224655873775482,0.00023681760009129844,0.5753448064823946,0.20971552891035874,0.0077314739270756645
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.5854166666666667,True,GD,1.0,0.00012593371717135112,0.00024149361721674602,0.5833898408710957,0.20989799536764622,0.0073776427617607025
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.6683333333333332,False,GD,1.0,0.00012202310291926066,0.00023257258637746176,0.5954489425222079,0.21223910997311277,0.006597803607777072
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.6683333333333332,True,GD,1.0,0.00012716896271705626,0.00023896203152338664,0.6066275168955326,0.2134969748556614,0.009155637772831444
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.75125,False,GD,1.0,0.00012604686840375265,0.0002342279348373413,0.6195487820208073,0.21590218606094522,0.008178018394998314
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.75125,True,GD,1.0,0.00012448585518201193,0.0002326781833966573,0.6082655505140623,0.21517569472392398,0.006318311698851176
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.8341666666666667,False,GD,1.0,0.00012526335088411966,0.00023059258111317953,0.631039430230856,0.21780458353459833,0.008804813470730248
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.8341666666666667,True,GD,1.0,0.00012625076285998027,0.00023237260882059735,0.6368416495124499,0.2176906958222389,0.009189880383686008
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.9170833333333333,False,GD,1.0,0.00012175965825716655,0.00022321448008219398,0.6448906468053659,0.21974681379894415,0.005944904430903838
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.9170833333333333,True,GD,1.0,0.00012677037890752155,0.0002300692426363627,0.6520304856399696,0.22040432654321193,0.005223014632550378
1000,2,1,0.4,0.3,0.3,0.01,0.0001,2.0,False,GD,1.0,0.0001266168540318807,0.00022699269771575927,0.6726213985780874,0.22310016738871732,0.0068452324012469035
1000,2,1,0.4,0.3,0.3,0.01,0.0001,2.0,True,GD,1.0,0.0001241158806482951,0.00022414661057790122,0.662985469430685,0.22214981131255626,0.007154804042511387
