d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,False,GD,0.0,0.0,0.0,0.0049570211040793274,0.0022802101436971596,0.0029029952970003226,0.0016625826246470866,0.0003448604109834196,0.0004792980506176306,0.01692794530100918
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,False,GD,0.0,0.0,0.0,0.017281818059258686,0.0052055652362438375,0.008326711744143098,0.0037717287961116694,0.00024687320966313873,0.00035825002932129643,0.040743758186988166
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,False,GD,0.0,0.0,0.0,0.019872195767895454,0.01084141365822469,0.014836516845259178,0.00697387436022667,0.00024885855935432633,0.0003508385153606443,0.0714077439421521
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,False,GD,0.0,0.0,0.0,0.01973264975520331,0.011283520947141983,0.022487598412362034,0.007464075692423368,0.00021216324471625434,0.0003179707970113458,0.06740707375481965
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,False,GD,0.0,0.0,0.0,0.029871527698572122,0.020771262305846843,0.02843355141573107,0.015384514055938306,0.00035548623406094897,0.000439138944581321,0.07629300082903404
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,False,GD,0.0,0.0,0.0,0.04068430844509743,0.024174255302176272,0.031337768593304366,0.017455457398264533,0.0002726396959481121,0.00035414607647311176,0.112924871601908
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,False,GD,0.0,0.0,0.0,0.029631604287151864,0.014208304867201545,0.03800970405666752,0.015760912063382072,0.00013879221752507428,0.00014744414488027116,0.10248267415751586
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5904166666666667,False,GD,0.0,0.0,0.0,0.012375856931316752,0.04317296655349049,0.03780052427268665,0.014556477861364697,0.00024276088156069485,0.00028738673447572925,0.09728226113078178
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.6733333333333333,False,GD,0.0,0.0,0.0,0.01986635364753346,0.04359182549631043,0.03327721114820764,0.01636119256017612,0.0002002916315164391,0.00027106188328294934,0.12047682503985375
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.75625,False,GD,0.0,0.0,0.0,0.018207288688962757,0.04993043276368236,0.028532343251343687,0.04070918490710402,0.000241694357475287,0.00033827332463968866,0.09294671954902356
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.8391666666666666,False,GD,0.0,0.0,0.0,0.018570518478716658,0.07678456495595577,0.03148398513716569,0.03430506572197516,0.0002265764650570028,0.0003456503104933496,0.10520823800000163
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.9220833333333334,False,GD,0.0,0.0,0.0,0.024519833444057535,0.05862517997141073,0.03652355891464064,0.039105567941059814,0.00034519761530600287,0.0004555728298055508,0.19077441056026453
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.005,False,GD,0.0,0.0,0.0,0.013205606695235302,0.09116199590912442,0.026039851517435746,0.030240679988168827,0.0001906034524060823,0.0003369953286674584,0.14650492166534707
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.0879166666666666,False,GD,0.0,0.0,0.0,0.04695733992347663,0.08586910824655204,0.03987521064485353,0.08983344304169372,0.00028742450450106483,0.0005158995722419112,0.24689349827956725
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.1708333333333334,False,GD,0.0,0.0,0.0,0.01408571452107222,0.11086682641819423,0.019323630394456833,0.06723558384297611,0.000312467350176152,0.000454886566851282,0.25763095154113425
