d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
10,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0016165632890343072,0.002672129330596999,0.034745162435434476,0.05775636206773785,0.13379869015645668
10,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0016037753430402923,0.0016765165707052227,0.03328127508555348,0.06567399681835963,0.2415432288805671
15,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0011546362432917159,0.0016062170013648916,0.02802267085028017,0.050002358396969745,0.13517194477789346
15,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0012543985586040873,0.0012790034537559479,0.03374778761165242,0.05907853392718792,0.2228278223147389
23,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0009620790611703258,0.001807710418414965,0.04712452569545968,0.04978390549710415,0.11342258924018239
23,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0009578197395492547,0.0010003254577296112,0.033093219031342935,0.0487990378100008,0.17529269481773818
36,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0006403691574636917,0.0011067462635818614,0.043694081510458116,0.04296839192121834,0.09973718664908796
36,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0007169950440915835,0.0006361764871812164,0.038762969124114276,0.05622767373197877,0.17510719331827967
56,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0005544130754783904,0.0009645088800931816,0.06485705524093446,0.03676725706994191,0.07045165732930443
56,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0006316133220199337,0.0005474547390620245,0.044137613012181554,0.028944980478539228,0.13217173836573512
87,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0004732349070865601,0.0007698406061066344,0.06809268080128657,0.022855694641267185,0.08281375903128434
87,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0004673998705162684,0.00041987417563746956,0.0476084579043435,0.02772809798870431,0.1107387097496258
135,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.000399235530569197,0.0006586067104556018,0.08475162046068248,0.014926350763880164,0.04952515993805917
135,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.00037615686287458314,0.0002909188506309804,0.054525775386987343,0.017622555991822955,0.08526074117024858
209,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.0003226364463688644,0.00054468748261849,0.10768336836389328,0.013117642994401787,0.039162143852985276
209,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0002935907670355431,0.000243931181296981,0.05823357343093797,0.021579592066238835,0.0641651595686518
323,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.00023659456306836994,0.000396854553290159,0.14600905551926044,0.010601039246509701,0.036144390023945976
323,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.0002902674242263016,0.00020433510508102801,0.08701604831142686,0.012899343362711665,0.061830547809447085
500,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,False,GD,0.0,0.0,0.00019395792482016156,0.00032141295689809053,0.16526274600915072,0.009668586782878606,0.02912556338448465
500,2,1,0.4,0.5,0.3,0.01,0.0001,1.5,True,GD,0.0,0.0,0.00017554033446800393,0.00013604087496135725,0.07920988034295408,0.011476021054984409,0.03746123811490358
