d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.01,False,GD,0.0,1.7276111802787126e-05,2.015387640189709e-05,0.0019940627708182434,1.1160880119689928e-06,6.238384697124087e-07
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.01,True,GD,0.0,1.0950491981086796e-05,2.3359361797419373e-05,0.0017009489402197299,1.121080402535683e-05,2.4809807063533153e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.09291666666666666,False,GD,0.0,1.009581160200065e-05,1.9515984014106592e-05,0.007419782400788959,1.300649517409652e-05,3.2742081558831737e-06
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.09291666666666666,True,GD,0.0,8.835897144669849e-06,1.8514847338037767e-05,0.0064612081767445465,9.522891261647236e-05,4.694284026858973e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.17583333333333334,False,GD,0.0,1.0950274574181929e-05,2.1975160937455307e-05,0.008282452106746552,3.227773245165863e-05,1.2909379046449149e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.17583333333333334,True,GD,0.0,1.2216419915315486e-05,2.4792866967212924e-05,0.009811791518424639,0.00021232504566000266,7.942811099188731e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.25875,False,GD,0.0,1.054202890714842e-05,2.21299729405612e-05,0.010200008133290262,0.00018732559009397668,2.757821566990737e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.25875,True,GD,0.0,1.3742363091422065e-05,2.8105201422888947e-05,0.013992096709075467,0.0005379525248244287,0.00012325242601412314
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.3416666666666667,False,GD,0.0,9.24613847300916e-06,1.8925274962289085e-05,0.013808374981085213,0.0005854125813325854,8.82456764091835e-05
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.3416666666666667,True,GD,0.0,8.041989836110561e-06,1.6412188865069683e-05,0.016658996549469278,0.0023015330758178274,0.0005305320337476565
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.4245833333333333,False,GD,0.0,8.720582247120924e-06,1.7859895814560744e-05,0.015833727297607954,0.0017298907605285672,0.00022371316350060125
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.4245833333333333,True,GD,0.0,9.382449633038612e-06,1.889558514532677e-05,0.01298899023440789,0.0032561974879421617,0.0003308611912709144
