,q,m,V,theta,mse,alpha,lambda,Phi
0,0.08083604433397208,1.6052745314458374e-08,10.097857392706898,0.13521786629047267,0.00253703123771698,2.0,0.01,-0.003064596475341428
1,0.07464460562418658,-5.861509285280131e-08,11.116437625120398,0.12808396880149148,0.0028287181657583593,1.788888888888889,0.01,-0.0028711701911474192
2,0.0678216848960156,-1.2958535213835022e-08,12.311962711927565,0.11963370661639734,0.003177774068658823,1.577777777777778,0.01,-0.002659308486947198
3,0.06034877628488991,-8.997832863778066e-09,13.723085449894434,0.1095877013674226,0.0035890110161408417,1.3666666666666667,0.01,-0.002424454036206671
4,0.052257145924076306,-1.1118198995318672e-08,15.362301399596195,0.09772355188703459,0.004056903075820961,1.1555555555555557,0.01,-0.0021605246626687172
5,0.0438076643929544,-6.154525049212722e-09,17.171870577845034,0.08408094673144373,0.004557810300035436,0.9444444444444444,0.01,-0.0018601925494166629
6,0.03500403067520878,-2.269092827885064e-09,19.385907797569153,0.06767824849500899,0.005093609201406113,0.7333333333333333,0.01,-0.00151558764823879
7,0.025594528310545664,1.3395037748473795e-09,23.810666303758172,0.040794483525241475,0.005777278991933699,0.5222222222222223,0.01,-0.0011208346087841076
8,0.015866886110244897,4.5130098342426604e-09,27.303425252371614,0.010904725429968122,0.006151944392895625,0.3111111111111111,0.01,-0.0006805392552334244
9,0.005281383821769509,-1.1351991365954705e-08,27.10189138690119,0.00011421188097465425,0.006199716028261193,0.1,0.01,-0.00022910569551515394
