,q,m,V,theta,mse,alpha,lambda,Phi
0,0.09667402659569038,1.1594809994321067e-08,26.10357734563587,-1.1219007613420014e-19,0.007725962892130789,2.275,0.01,-0.00504621219357595
1,0.0902700164942369,-1.0077284603195727e-09,27.369082858058267,-4.7592169271390297e-20,0.007674641613539479,2.033333333333333,0.01,-0.004497135427690598
2,0.08317869833449645,2.302482857276642e-08,28.62589070124762,-2.8514546259814303e-19,0.007636063642181168,1.7916666666666665,0.01,-0.003963663346713191
3,0.07534766318208065,1.9210316905088797e-09,29.834189656487368,-5.001657754146145e-20,0.007616636216161932,1.5499999999999998,0.01,-0.00344415560888847
4,0.06676191045611303,-1.6767101771538397e-09,30.943320516624496,1.2095565397916044e-19,0.007624454695958738,1.3083333333333333,0.01,-0.0029359524306587998
5,0.05734358447575182,1.761717801400906e-08,31.8671947126522,1.0246285484263784e-19,0.007669554255013256,1.0666666666666667,0.01,-0.0024352658647598785
6,0.04717913585193956,3.891637447961e-09,32.388609129054416,-3.213595264514493e-21,0.007762895422568028,0.8249999999999998,0.01,-0.0019368858134291502
7,0.035746323368778,-9.085149165901e-09,32.48070013248542,-2.2654496509697238e-20,0.007925489393231122,0.5833333333333333,0.01,-0.0014297449818034573
8,0.022658560342986137,-1.7122530097333836e-08,31.796022920256565,-3.500603372020944e-20,0.008189089338470401,0.3416666666666667,0.01,-0.0008969395646481799
9,0.007473887332423263,-1.8714167360122484e-09,29.01979942586894,-7.674306519300689e-21,0.008601203932329882,0.1,0.01,-0.0002982541414761543
